ROW_ID;SOURCE_ID;SOURCE_LABEL;SOURCE_DB;SOURCE_SCHEMA;SOURCE_TABLE;SOURCE_FIELD;TARGET_ID;TARGET_LABEL;TARGET_DB;TARGET_SCHEMA;TARGET_TABLE;TARGET_FIELD;TRANSFORMATION;LINK_VALUE;RAT_SCORE;COLOR
1;1;Categories@CategoryID;MA_NorthWindDB;dbo;Categories;CategoryID;2;Categories_Extract@CategoryID;MA_NorthWindDB;dbo;Categories_Extract;CategoryID;;1;0;aliceblue
2;1;Categories@CategoryName;MA_NorthWindDB;dbo;Categories;CategoryName;2;Categories_Extract@CategoryName;MA_NorthWindDB;dbo;Categories_Extract;CategoryName;;1;0;aliceblue
3;1;Categories@Description;MA_NorthWindDB;dbo;Categories;Description;2;Categories_Extract@Description;MA_NorthWindDB;dbo;Categories_Extract;Description;;1;0;aliceblue
4;3;Customers@CustomerID;MA_NorthWindDB;dbo;Customers;CustomerID;4;Customers_Extract@CustomerID;MA_NorthWindDB;dbo;Customers_Extract;CustomerID;;1;0;aliceblue
5;3;Customers@CompanyName;MA_NorthWindDB;dbo;Customers;CompanyName;4;Customers_Extract@CompanyName;MA_NorthWindDB;dbo;Customers_Extract;CompanyName;;1;0;aliceblue
6;3;Customers@ContactName;MA_NorthWindDB;dbo;Customers;ContactName;4;Customers_Extract@ContactName;MA_NorthWindDB;dbo;Customers_Extract;ContactName;;1;0;aliceblue
7;3;Customers@ContactTitle;MA_NorthWindDB;dbo;Customers;ContactTitle;4;Customers_Extract@ContactTitle;MA_NorthWindDB;dbo;Customers_Extract;ContactTitle;;1;0;aliceblue
8;3;Customers@Address;MA_NorthWindDB;dbo;Customers;Address;4;Customers_Extract@Address;MA_NorthWindDB;dbo;Customers_Extract;Address;;1;0;aliceblue
9;3;Customers@City;MA_NorthWindDB;dbo;Customers;City;4;Customers_Extract@City;MA_NorthWindDB;dbo;Customers_Extract;City;;1;0;aliceblue
10;3;Customers@Region;MA_NorthWindDB;dbo;Customers;Region;4;Customers_Extract@Region;MA_NorthWindDB;dbo;Customers_Extract;Region;;1;0;aliceblue
11;3;Customers@PostalCode;MA_NorthWindDB;dbo;Customers;PostalCode;4;Customers_Extract@PostalCode;MA_NorthWindDB;dbo;Customers_Extract;PostalCode;;1;0;aliceblue
12;3;Customers@Country;MA_NorthWindDB;dbo;Customers;Country;4;Customers_Extract@Country;MA_NorthWindDB;dbo;Customers_Extract;Country;;1;0;aliceblue
13;3;Customers@Phone;MA_NorthWindDB;dbo;Customers;Phone;4;Customers_Extract@Phone;MA_NorthWindDB;dbo;Customers_Extract;Phone;;1;0;aliceblue
14;3;Customers@Fax;MA_NorthWindDB;dbo;Customers;Fax;4;Customers_Extract@Fax;MA_NorthWindDB;dbo;Customers_Extract;Fax;;1;0;aliceblue
15;7;EmployeeTerritories@EmployeeID;MA_NorthWindDB;dbo;EmployeeTerritories;EmployeeID;8;EmployeeTerritories_Extract@EmployeeID;MA_NorthWindDB;dbo;EmployeeTerritories_Extract;EmployeeID;;1;0;aliceblue
16;7;EmployeeTerritories@TerritoryID;MA_NorthWindDB;dbo;EmployeeTerritories;TerritoryID;8;EmployeeTerritories_Extract@TerritoryID;MA_NorthWindDB;dbo;EmployeeTerritories_Extract;TerritoryID;;1;0;aliceblue
17;5;Employees@EmployeeID;MA_NorthWindDB;dbo;Employees;EmployeeID;6;Employees_Extract@EmployeeID;MA_NorthWindDB;dbo;Employees_Extract;EmployeeID;;1;0;aliceblue
