ROW_ID|SOURCE_ID|SOURCE_LABEL|SOURCE_DB|SOURCE_SCHEMA|SOURCE_TABLE|SOURCE_FIELD|TARGET_ID|TARGET_LABEL|TARGET_DB|n/a|TARGET_TABLE|TARGET_FIELD|TRANSFORMATION|MAP_TRANSFORMATION|LINK_VALUE|RAT_SCORE|COLOR
1|0|0@Suppliers_Extract.csv@SupplierID|0|n/a|Suppliers_Extract.csv|SupplierID|6|6@Suppliers_Extract.csv@SupplierID|1|n/a|Suppliers_Extract.csv|SupplierID|||1|0|aliceblue
2|0|0@Suppliers_Extract.csv@CompanyName|0|n/a|Suppliers_Extract.csv|CompanyName|6|6@Suppliers_Extract.csv@CompanyName|1|n/a|Suppliers_Extract.csv|CompanyName|||1|0|aliceblue
3|0|0@Suppliers_Extract.csv@ContactName|0|n/a|Suppliers_Extract.csv|ContactName|6|6@Suppliers_Extract.csv@ContactName|1|n/a|Suppliers_Extract.csv|ContactName|||1|0|aliceblue
4|0|0@Suppliers_Extract.csv@ContactTitle|0|n/a|Suppliers_Extract.csv|ContactTitle|6|6@Suppliers_Extract.csv@ContactTitle|1|n/a|Suppliers_Extract.csv|ContactTitle|||1|0|aliceblue
5|0|0@Suppliers_Extract.csv@Address|0|n/a|Suppliers_Extract.csv|Address|6|6@Suppliers_Extract.csv@Address|1|n/a|Suppliers_Extract.csv|Address|||1|0|aliceblue
6|0|0@Suppliers_Extract.csv@City|0|n/a|Suppliers_Extract.csv|City|6|6@Suppliers_Extract.csv@City|1|n/a|Suppliers_Extract.csv|City|||1|0|aliceblue
7|0|0@Suppliers_Extract.csv@Region|0|n/a|Suppliers_Extract.csv|Region|6|6@Suppliers_Extract.csv@Region|1|n/a|Suppliers_Extract.csv|Region|||1|0|aliceblue
8|0|0@Suppliers_Extract.csv@PostalCode|0|n/a|Suppliers_Extract.csv|PostalCode|6|6@Suppliers_Extract.csv@PostalCode|1|n/a|Suppliers_Extract.csv|PostalCode|||1|0|aliceblue
9|0|0@Suppliers_Extract.csv@Country|0|n/a|Suppliers_Extract.csv|Country|6|6@Suppliers_Extract.csv@Country|1|n/a|Suppliers_Extract.csv|Country|||1|0|aliceblue
10|0|0@Suppliers_Extract.csv@Phone|0|n/a|Suppliers_Extract.csv|Phone|6|6@Suppliers_Extract.csv@Phone|1|n/a|Suppliers_Extract.csv|Phone|||1|0|aliceblue
11|0|0@Suppliers_Extract.csv@Fax|0|n/a|Suppliers_Extract.csv|Fax|6|6@Suppliers_Extract.csv@Fax|1|n/a|Suppliers_Extract.csv|Fax|||1|0|aliceblue
12|1|1@Reftable_Supplier_Discount.csv@Discount|0|n/a|Reftable_Supplier_Discount.csv|Discount|7|7@Reftable_Supplier_Discount.csv@Discount|1|n/a|Reftable_Supplier_Discount.csv|Discount|||1|0|aliceblue
13|6|6@Suppliers_Extract.csv@SupplierID|1|n/a|Suppliers_Extract.csv|SupplierID|12|12@Suppliers_Extract.csv@SupplierID|2|n/a|Suppliers_Extract.csv|SupplierID|||1|0|aliceblue
14|6|6@Suppliers_Extract.csv@CompanyName|1|n/a|Suppliers_Extract.csv|CompanyName|12|12@Suppliers_Extract.csv@CompanyName|2|n/a|Suppliers_Extract.csv|CompanyName|||1|0|aliceblue
15|6|6@Suppliers_Extract.csv@ContactName|1|n/a|Suppliers_Extract.csv|ContactName|12|12@Suppliers_Extract.csv@ContactName|2|n/a|Suppliers_Extract.csv|ContactName|||1|0|aliceblue
16|6|6@Suppliers_Extract.csv@ContactTitle|1|n/a|Suppliers_Extract.csv|ContactTitle|12|12@Suppliers_Extract.csv@ContactTitle|2|n/a|Suppliers_Extract.csv|ContactTitle|||1|0|aliceblue
17|6|6@Suppliers_Extract.csv@Address|1|n/a|Suppliers_Extract.csv|Address|12|12@Suppliers_Extract.csv@Address|2|n/a|Suppliers_Extract.csv|Address|||1|0|aliceblue
18|6|6@Suppliers_Extract.csv@City|1|n/a|Suppliers_Extract.csv|City|12|12@Suppliers_Extract.csv@City|2|n/a|Suppliers_Extract.csv|City|||1|0|aliceblue
19|6|6@Suppliers_Extract.csv@Region|1|n/a|Suppliers_Extract.csv|Region|12|12@Suppliers_Extract.csv@Region|2|n/a|Suppliers_Extract.csv|Region|||1|0|aliceblue
20|6|6@Suppliers_Extract.csv@PostalCode|1|n/a|Suppliers_Extract.csv|PostalCode|12|12@Suppliers_Extract.csv@PostalCode|2|n/a|Suppliers_Extract.csv|PostalCode|||1|0|aliceblue
21|6|6@Suppliers_Extract.csv@Country|1|n/a|Suppliers_Extract.csv|Country|12|12@Suppliers_Extract.csv@Country|2|n/a|Suppliers_Extract.csv|Country|||1|0|aliceblue
22|6|6@Suppliers_Extract.csv@Phone|1|n/a|Suppliers_Extract.csv|Phone|12|12@Suppliers_Extract.csv@Phone|2|n/a|Suppliers_Extract.csv|Phone|||1|0|aliceblue
23|6|6@Suppliers_Extract.csv@Fax|1|n/a|Suppliers_Extract.csv|Fax|12|12@Suppliers_Extract.csv@Fax|2|n/a|Suppliers_Extract.csv|Fax|||1|0|aliceblue
24|7|7@Reftable_Supplier_Discount.csv@Discount|1|n/a|Reftable_Supplier_Discount.csv|Discount|13|13@Reftable_Supplier_Discount.csv@Discount|2|n/a|Reftable_Supplier_Discount.csv|Discount|||1|0|aliceblue
25|12|12@Suppliers_Extract.csv@SupplierID|2|n/a|Suppliers_Extract.csv|SupplierID|18|18@Suppliers_Extract.csv@SupplierID|3|n/a|Suppliers_Extract.csv|SupplierID|||1|0|aliceblue
26|12|12@Suppliers_Extract.csv@CompanyName|2|n/a|Suppliers_Extract.csv|CompanyName|18|18@Suppliers_Extract.csv@CompanyName|3|n/a|Suppliers_Extract.csv|CompanyName|||1|0|aliceblue
27|12|12@Suppliers_Extract.csv@ContactName|2|n/a|Suppliers_Extract.csv|ContactName|18|18@Suppliers_Extract.csv@ContactName|3|n/a|Suppliers_Extract.csv|ContactName|||1|0|aliceblue
28|12|12@Suppliers_Extract.csv@ContactTitle|2|n/a|Suppliers_Extract.csv|ContactTitle|18|18@Suppliers_Extract.csv@ContactTitle|3|n/a|Suppliers_Extract.csv|ContactTitle|||1|0|aliceblue
29|12|12@Suppliers_Extract.csv@Address|2|n/a|Suppliers_Extract.csv|Address|18|18@Suppliers_Extract.csv@Address|3|n/a|Suppliers_Extract.csv|Address|||1|0|aliceblue
30|12|12@Suppliers_Extract.csv@City|2|n/a|Suppliers_Extract.csv|City|18|18@Suppliers_Extract.csv@City|3|n/a|Suppliers_Extract.csv|City|||1|0|aliceblue
31|12|12@Suppliers_Extract.csv@Region|2|n/a|Suppliers_Extract.csv|Region|18|18@Suppliers_Extract.csv@Region|3|n/a|Suppliers_Extract.csv|Region|||1|0|aliceblue
32|12|12@Suppliers_Extract.csv@PostalCode|2|n/a|Suppliers_Extract.csv|PostalCode|18|18@Suppliers_Extract.csv@PostalCode|3|n/a|Suppliers_Extract.csv|PostalCode|||1|0|aliceblue
33|12|12@Suppliers_Extract.csv@Phone|2|n/a|Suppliers_Extract.csv|Phone|18|18@Suppliers_Extract.csv@Phone|3|n/a|Suppliers_Extract.csv|Phone|||1|0|aliceblue
34|12|12@Suppliers_Extract.csv@Fax|2|n/a|Suppliers_Extract.csv|Fax|18|18@Suppliers_Extract.csv@Fax|3|n/a|Suppliers_Extract.csv|Fax|||1|0|aliceblue
35|12|12@Suppliers_Extract.csv@Country|2|n/a|Suppliers_Extract.csv|Country|18|18@Suppliers_Extract.csv@Country|3|n/a|Suppliers_Extract.csv|Country|||1|0|aliceblue
36|13|13@Reftable_Supplier_Discount.csv@Discount|2|n/a|Reftable_Supplier_Discount.csv|Discount|19|19@Reftable_Supplier_Discount.csv@Discount|3|n/a|Reftable_Supplier_Discount.csv|Discount|IFTHENELSE(REPLACE(Discount), 0,Discount)||1|0|orangered
37|18|18@Suppliers_Extract.csv@SupplierID|3|n/a|Suppliers_Extract.csv|SupplierID|24|24@Suppliers_Extract.csv@SupplierID|4|n/a|Suppliers_Extract.csv|SupplierID|||1|0|aliceblue
