DB|Table|Concat|ID||||||||
MA_NorthWindDB|[Order Details]|MA_NorthWindDB[Order Details]|0||||||||
MA_NorthWindDB|Categories|MA_NorthWindDBCategories|1|||Name||Source DB|||Target DB
MA_NorthWindDB|Categories_Extract|MA_NorthWindDBCategories_Extract|2|||row 251 (no name)||MA_NorthWindDB|||Stagingcontainer
MA_NorthWindDB|Customers|MA_NorthWindDBCustomers|3|||PreStage to Stage||Stagingcontainer|||Rationalisatie_centralDB
MA_NorthWindDB|Customers_Extract|MA_NorthWindDBCustomers_Extract|4|||Rename Stage||Rationalisatie_centralDB|||Rationalisatie_centralDB
MA_NorthWindDB|Employees|MA_NorthWindDBEmployees|5|||Stage to DWH||Rationalisatie_centralDB|||MA_DemoDB_01
MA_NorthWindDB|Employees_Extract|MA_NorthWindDBEmployees_Extract|6|||DWH to Mart||MA_DemoDB_01|||MA_DemoDM01
MA_NorthWindDB|EmployeeTerritories|MA_NorthWindDBEmployeeTerritories|7|||PQ lineage||MA_DemoDM01|||Report
MA_NorthWindDB|EmployeeTerritories_Extract|MA_NorthWindDBEmployeeTerritories_Extract|8||||||||
MA_NorthWindDB|Order_Details_Order_AGGR|MA_NorthWindDBOrder_Details_Order_AGGR|9||||||||
MA_NorthWindDB|Order_Details_Product_AGGR|MA_NorthWindDBOrder_Details_Product_AGGR|10||||||||
MA_NorthWindDB|Order_Details_Extract|MA_NorthWindDBOrder_Details_Extract|11||||||||
MA_NorthWindDB|Order_Details_1996_Extract|MA_NorthWindDBOrder_Details_1996_Extract|12||||||||
MA_NorthWindDB|Order_Details_1997_Extract|MA_NorthWindDBOrder_Details_1997_Extract|13||||||||
MA_NorthWindDB|Order_Details_1998_Extract|MA_NorthWindDBOrder_Details_1998_Extract|14||||||||
MA_NorthWindDB|Orders|MA_NorthWindDBOrders|15||||||||
MA_NorthWindDB|Orders_1996_Extract|MA_NorthWindDBOrders_1996_Extract|16||||||||
MA_NorthWindDB|Orders_1997_Extract|MA_NorthWindDBOrders_1997_Extract|17||||||||
MA_NorthWindDB|Orders_1998_Extract|MA_NorthWindDBOrders_1998_Extract|18||||||||
MA_NorthWindDB|Orders_Extract|MA_NorthWindDBOrders_Extract|19||||||||
MA_NorthWindDB|Products|MA_NorthWindDBProducts|20||||||||
MA_NorthWindDB|Products_Extract|MA_NorthWindDBProducts_Extract|21||||||||
MA_NorthWindDB|Region|MA_NorthWindDBRegion|22||||||||
MA_NorthWindDB|Region_Extract|MA_NorthWindDBRegion_Extract|23||||||||
MA_NorthWindDB|Shippers|MA_NorthWindDBShippers|24||||||||
