ROW_ID|SOURCE_ID|SOURCE_LABEL|SOURCE_DB|SOURCE_SCHEMA|SOURCE_TABLE|SOURCE_FIELD|TARGET_ID|TARGET_LABEL|TARGET_DB|TARGET_SCHEMA|TARGET_TABLE|TARGET_FIELD|TRANSFORMATION|LINK_VALUE|RAT_SCORE|COLOR
1|266|MA_DemoDM01@DIM_Customer@Country|MA_DemoDM01|dbo|DIM_Customer|Country|329|Report@Country_Overview@Country|Report|dbo|Country_Overview|Country||1|0|aliceblue
2|168|MA_DemoDB_01@Customers_Extract@Country|MA_DemoDB_01|dbo|Customers_Extract|Country|266|MA_DemoDM01@DIM_Customer@Country|MA_DemoDM01|dbo|DIM_Customer|Country||1|0|aliceblue
3|142|Rationalisatie_centralDB@Customers_Extract.csv@Country|Rationalisatie_centralDB|dbo|Customers_Extract.csv|Country|168|MA_DemoDB_01@Customers_Extract@Country|MA_DemoDB_01|dbo|Customers_Extract|Country||1|0|aliceblue
4|89|Stagingcontainer@Customers_Extract.csv@Country|Stagingcontainer|dbo|Customers_Extract.csv|Country|142|Rationalisatie_centralDB@Customers_Extract.csv@Country|Rationalisatie_centralDB|dbo|Customers_Extract.csv|Country||1|0|aliceblue
5|4|MA_NorthWindDB@Customers_Extract@Country|MA_NorthWindDB|dbo|Customers_Extract|Country|89|Stagingcontainer@Customers_Extract.csv@Country|Stagingcontainer|dbo|Customers_Extract.csv|Country||1|0|aliceblue
6|3|MA_NorthWindDB@Customers@Country|MA_NorthWindDB|dbo|Customers|Country|4|MA_NorthWindDB@Customers_Extract@Country|MA_NorthWindDB|dbo|Customers_Extract|Country||1|0|aliceblue
7|269|MA_DemoDM01@DIM_Time@Year|MA_DemoDM01|dbo|DIM_Time|Year|329|Report@Country_Overview@Year|Report|dbo|Country_Overview|Year||1|0|aliceblue
8|324|Reference@Reference_Time_Dimensions.csv@Year|Reference|dbo|Reference_Time_Dimensions.csv|Year|269|MA_DemoDM01@DIM_Time@Year|MA_DemoDM01|dbo|DIM_Time|Year||1|0|aliceblue
9|268|MA_DemoDM01@FCT_Order@Price|MA_DemoDM01|dbo|FCT_Order|Price|329|Report@Country_Overview@Total_Price|Report|dbo|Country_Overview|Total_Price|ROUND(SUMMATION(Price),2)|1|0|orangered
10|175|MA_DemoDB_01@Order_Details_Extract@UnitPrice|MA_DemoDB_01|dbo|Order_Details_Extract|UnitPrice|268|MA_DemoDM01@FCT_Order@Price|MA_DemoDM01|dbo|FCT_Order|Price||1|0|aliceblue
11|145|Rationalisatie_centralDB@Order_Details_Extract.csv@UnitPrice|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|UnitPrice|175|MA_DemoDB_01@Order_Details_Extract@UnitPrice|MA_DemoDB_01|dbo|Order_Details_Extract|UnitPrice||1|0|aliceblue
12|92|Stagingcontainer@Order_Details_Extract.csv@UnitPrice|Stagingcontainer|dbo|Order_Details_Extract.csv|UnitPrice|145|Rationalisatie_centralDB@Order_Details_Extract.csv@UnitPrice|Rationalisatie_centralDB|dbo|Order_Details_Extract.csv|UnitPrice||1|0|aliceblue
13|11|MA_NorthWindDB@Order_Details_Extract@UnitPrice|MA_NorthWindDB|dbo|Order_Details_Extract|UnitPrice|92|Stagingcontainer@Order_Details_Extract.csv@UnitPrice|Stagingcontainer|dbo|Order_Details_Extract.csv|UnitPrice||1|0|aliceblue
14|0|MA_NorthWindDB@[Order Details]@UnitPrice|MA_NorthWindDB|dbo|[Order Details]|UnitPrice|11|MA_NorthWindDB@Order_Details_Extract@UnitPrice|MA_NorthWindDB|dbo|Order_Details_Extract|UnitPrice||1|0|aliceblue
15|268|MA_DemoDM01@FCT_Order@Price|MA_DemoDM01|dbo|FCT_Order|Price|329|Report@Country_Overview@Average_Price|Report|dbo|Country_Overview|Average_Price|ROUND(AVERAGE(Price),2)|1|0|orangered
