Line Number,Source,Target
8,MA_NorthWindDB.dbo.Categories.CategoryID,MA_NorthWindDB.dbo.Categories_Extract.CategoryID
8,MA_NorthWindDB.dbo.Categories.CategoryName,MA_NorthWindDB.dbo.Categories_Extract.CategoryName
8,MA_NorthWindDB.dbo.Categories.Description,MA_NorthWindDB.dbo.Categories_Extract.Description
18,MA_NorthWindDB.dbo.Customers.CustomerID,MA_NorthWindDB.dbo.Customers_Extract.CustomerID
18,MA_NorthWindDB.dbo.Customers.CompanyName,MA_NorthWindDB.dbo.Customers_Extract.CompanyName
18,MA_NorthWindDB.dbo.Customers.ContactName,MA_NorthWindDB.dbo.Customers_Extract.ContactName
18,MA_NorthWindDB.dbo.Customers.ContactTitle,MA_NorthWindDB.dbo.Customers_Extract.ContactTitle
18,MA_NorthWindDB.dbo.Customers.Address,MA_NorthWindDB.dbo.Customers_Extract.Address
18,MA_NorthWindDB.dbo.Customers.City,MA_NorthWindDB.dbo.Customers_Extract.City
18,MA_NorthWindDB.dbo.Customers.Region,MA_NorthWindDB.dbo.Customers_Extract.Region
18,MA_NorthWindDB.dbo.Customers.PostalCode,MA_NorthWindDB.dbo.Customers_Extract.PostalCode
18,MA_NorthWindDB.dbo.Customers.Country,MA_NorthWindDB.dbo.Customers_Extract.Country
18,MA_NorthWindDB.dbo.Customers.Phone,MA_NorthWindDB.dbo.Customers_Extract.Phone
18,MA_NorthWindDB.dbo.Customers.Fax,MA_NorthWindDB.dbo.Customers_Extract.Fax
25,MA_NorthWindDB.dbo.EmployeeTerritories.EmployeeID,MA_NorthWindDB.dbo.EmployeeTerritories_Extract.EmployeeID
25,MA_NorthWindDB.dbo.EmployeeTerritories.TerritoryID,MA_NorthWindDB.dbo.EmployeeTerritories_Extract.TerritoryID
33,MA_NorthWindDB.dbo.Employees.EmployeeID,MA_NorthWindDB.dbo.Employees_Extract.EmployeeID
33,MA_NorthWindDB.dbo.Employees.LastName,MA_NorthWindDB.dbo.Employees_Extract.LastName
33,MA_NorthWindDB.dbo.Employees.FirstName,MA_NorthWindDB.dbo.Employees_Extract.FirstName
33,MA_NorthWindDB.dbo.Employees.Title,MA_NorthWindDB.dbo.Employees_Extract.Title
33,MA_NorthWindDB.dbo.Employees.TitleOfCourtesy,MA_NorthWindDB.dbo.Employees_Extract.TitleOfCourtesy
33,MA_NorthWindDB.dbo.Employees.BirthDate,MA_NorthWindDB.dbo.Employees_Extract.BirthDate
33,MA_NorthWindDB.dbo.Employees.HireDate,MA_NorthWindDB.dbo.Employees_Extract.HireDate
33,MA_NorthWindDB.dbo.Employees.Address,MA_NorthWindDB.dbo.Employees_Extract.Address
33,MA_NorthWindDB.dbo.Employees.City,MA_NorthWindDB.dbo.Employees_Extract.City
33,MA_NorthWindDB.dbo.Employees.Region,MA_NorthWindDB.dbo.Employees_Extract.Region
33,MA_NorthWindDB.dbo.Employees.PostalCode,MA_NorthWindDB.dbo.Employees_Extract.PostalCode
33,MA_NorthWindDB.dbo.Employees.Country,MA_NorthWindDB.dbo.Employees_Extract.Country
33,MA_NorthWindDB.dbo.Employees.HomePhone,MA_NorthWindDB.dbo.Employees_Extract.HomePhone
